generation,candidate,score,reward,distance,energy,rate_error,density,learning_rate,eligibility_tau,homeostasis_gain,target_rate,release_probability
0,0,-2.870011418118,0.699538822377,1.331708867354,0.999748958333,3.714905879976,0.055171191000,0.000543239620,387.546332482522,0.004419794465,8.578216129678,0.160656269540
0,1,-2.976575993161,0.631953221897,1.340286334087,0.998646527778,4.349673834268,0.061145179336,0.000955749361,325.213556776032,0.003001387000,8.902546165744,0.176085668621
0,2,-3.235226400862,0.399276424996,1.369615115829,0.986861805556,0.954419057434,0.047780066592,0.000473755233,376.649060689445,0.001474106276,9.966681054358,0.192840346201
0,3,-3.378808790618,0.330858402742,1.378157522035,0.992710069444,3.577483098879,0.051780178467,0.000524162400,616.619723660738,0.002275042593,9.994002317826,0.169699307731
0,4,-3.488930416964,0.263422069326,1.386602230985,0.994387152778,4.486968486237,0.070000000000,0.000800000000,400.000000000000,0.003000000000,8.000000000000,0.180000000000
0,5,-3.876652954451,-0.037506326430,1.423960106035,0.999618750000,3.353784245810,0.078060901534,0.001080779436,303.091581291645,0.005218028408,9.833003523355,0.078190807536
0,6,-3.944972821379,-0.065213656721,1.427769500716,0.991004861111,4.597654653361,0.133209616432,0.000781721092,503.940897222948,0.003585126319,7.951617979507,0.224346964404
0,7,-4.053637869270,-0.168453666119,1.440496615057,0.985565625000,2.823858524003,0.086040274518,0.000807922687,483.834965873172,0.002037301217,8.205593916923,0.173395112904
1,0,-2.371421278391,1.054124528236,1.287057513332,0.999899305556,3.216145970478,0.064686615697,0.000621341030,253.544472756246,0.004887225493,8.121508906114,0.196499389630
1,1,-2.870011418118,0.699538822377,1.331708867354,0.999748958333,3.714905879976,0.055171191000,0.000543239620,387.546332482522,0.004419794465,8.578216129678,0.160656269540
1,2,-2.909355758399,0.673746170235,1.334968175073,0.993463888889,3.746467392948,0.057024381459,0.000438332049,325.548949007395,0.004327261500,10.981067924501,0.175241044809
1,3,-3.150560090006,0.495950097688,1.357348647046,0.999730902778,3.716484897256,0.059508695839,0.000559807748,373.221525704894,0.004416489424,8.579465162407,0.187633469156
1,4,-3.474050398375,0.264811857365,1.386469843904,0.999930555556,3.970900090346,0.040128916864,0.000289083298,450.671311885333,0.003988387342,7.344980437234,0.168056695885
1,5,-3.516812972392,0.224018265448,1.391387425903,0.999859375000,3.329932381537,0.055740256933,0.000493989310,358.934653897322,0.004753715016,7.299127165607,0.219143040830
1,6,-3.577135277440,0.180529018924,1.397123485196,0.999861111111,3.311219816588,0.066031440165,0.000774081946,385.150224594656,0.004663194821,7.348005439179,0.168066600086
1,7,-3.631850054427,0.135330572867,1.402722477180,0.999722222222,2.943715343243,0.063855556184,0.000531869059,435.027948874928,0.005118573022,8.381583653902,0.163369335199
2,0,-2.371421278391,1.054124528236,1.287057513332,0.999899305556,3.216145970478,0.064686615697,0.000621341030,253.544472756246,0.004887225493,8.121508906114,0.196499389630
2,1,-2.712205908882,0.805304131439,1.318454633519,0.999980902778,3.106829557619,0.062154719913,0.000687071602,342.192278719562,0.005144393187,8.125028397581,0.228868791510
2,2,-2.875979960558,0.694820106076,1.332288848034,0.999835416667,3.692561543310,0.073024270373,0.000376664091,179.739247833050,0.004298551023,7.870953491865,0.232876045357
2,3,-3.405742526699,0.309091829404,1.380832143702,0.999543402778,3.605481319273,0.058953055006,0.000558201572,357.928504404217,0.004826762417,9.321568129144,0.190945404300
2,4,-3.462532955288,0.280965526976,1.384321346855,0.997756250000,4.470628334974,0.061344049960,0.000889795434,241.678281770575,0.003038384766,7.988348402263,0.184851701596
2,5,-3.512156499722,0.241187815325,1.389495462724,0.998898263889,4.215352941002,0.066784883149,0.000496126082,255.830882249445,0.003741999756,8.378887656159,0.171185525759
2,6,-3.598749096526,0.162057960927,1.399234723790,0.999812500000,3.150456804125,0.080031405419,0.000505721437,240.493560992925,0.005204109003,8.914342007162,0.185668588972
2,7,-3.642858577390,0.126106416626,1.403904698260,0.999828472222,2.858256767352,0.057989560837,0.000488595381,255.133982408138,0.005442464433,8.375773123870,0.209757111178
3,0,-2.371421278391,1.054124528236,1.287057513332,0.999899305556,3.216145970478,0.064686615697,0.000621341030,253.544472756246,0.004887225493,8.121508906114,0.196499389630
3,1,-2.631552334157,0.852862692637,1.312434020695,0.999920138889,2.353651707745,0.073967074503,0.000756411819,279.285561993619,0.006277240746,8.302638717743,0.226163849582
3,2,-2.791414966474,0.752504882839,1.325057995988,0.999651388889,3.428577789683,0.066755531850,0.000674940294,244.709702037674,0.004780633429,8.303973943413,0.257459291687
3,3,-2.853996648827,0.706308193826,1.330877679558,0.999816666667,3.379006865690,0.064757041694,0.000617982225,216.830533650337,0.004594965692,8.093418412170,0.211904754068
3,4,-3.294473453993,0.391453515785,1.370502991798,0.999722222222,3.713955274695,0.070188513157,0.000534799098,251.100605487148,0.004422312832,8.158154848001,0.203982899605
3,5,-3.524269721646,0.218202895633,1.391843008500,0.999851041667,3.343455630658,0.063647208955,0.000644093369,266.189244377557,0.004824886629,7.566070870272,0.240741450262
3,6,-3.793607457982,0.014577889882,1.417896397837,0.999810763889,2.720076814930,0.066237383537,0.000651173759,182.436775443004,0.005515498100,8.111479883799,0.190256126587
3,7,-4.085901706516,-0.195742491426,1.444018215464,0.999800347222,2.900237115403,0.074380123823,0.000827660529,233.879888941407,0.005175993902,8.420541269305,0.194358494100
